called directly with directory .
Hash: fd8a7a59f4affd45d6fc1aa59cb191b0 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/readable-stream/node_modules/string_decoder/.npmignore

Hash: 2ad6737cc13fb91ac995664f60ba27bd Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/read-package-json/test/fixtures/readmes/readmexxx.yz

Hash: 3ec03583f8eaec275cb2183db769ff47 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/JSONStream/node_modules/jsonparse/.npmignore

Hash: 3ec03583f8eaec275cb2183db769ff47 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/duplexify/node_modules/end-of-stream/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/duplexify/node_modules/stream-shift/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 1ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/fs-vacuum/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/mississippi/node_modules/stream-each/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/request/node_modules/http-signature/node_modules/jsprim/node_modules/verror/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/columnify/node_modules/wcwidth/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/columnify/node_modules/wcwidth/node_modules/defaults/.npmignore

Hash: 3d10912d07e7bc8cd7d2faea51adb2d8 Time: 0ms /home/aarato/node/ucipass-dupfinder/node_modules/npm/node_modules/iferr/.npmignore

